step,t,proton_id,proton_score,electron_id,electron_score,photon_id,photon_score
3560,178.00000000,44,4.561808,44,6.162387,10,5.963695
3570,178.50000000,62,3.519943,62,5.821771,60,6.321012
3580,179.00000000,60,3.055724,5,5.129356,60,6.692912
3590,179.50000000,56,4.125939,56,5.846378,60,6.002387
3600,180.00000000,58,5.777650,15,5.929019,43,4.533005
3610,180.50000000,58,5.260648,14,3.600942,61,5.230424
3620,181.00000000,17,4.723772,44,5.487097,36,4.615970
3630,181.50000000,17,5.187970,62,6.308948,10,4.354415
3640,182.00000000,17,3.443573,5,4.260087,10,6.042423
3650,182.50000000,56,3.908967,0,3.945330,7,4.902660
3660,183.00000000,56,4.793029,45,4.973160,17,4.604445
3670,183.50000000,17,3.507648,45,5.362710,58,4.864722
3680,184.00000000,60,5.167967,14,4.676902,58,5.782045
3690,184.50000000,44,5.007854,44,5.596801,58,5.649520
3700,185.00000000,10,5.339336,5,4.641956,60,5.879729
3710,185.50000000,10,4.946500,0,4.160694,44,4.931200
3720,186.00000000,10,4.530423,56,7.459125,10,5.018431
3730,186.50000000,10,5.372376,15,4.992964,60,5.560598
3740,187.00000000,10,7.528786,14,4.491491,61,5.293307
3750,187.50000000,10,7.948685,44,5.079927,58,5.155756
3760,188.00000000,62,3.335842,62,5.478641,58,4.640468
3770,188.50000000,60,5.495254,5,4.345303,28,5.464494
3780,189.00000000,56,4.518541,56,4.493853,10,5.130983
3790,189.50000000,10,4.183204,15,6.496829,44,4.776477
3800,190.00000000,60,3.660260,45,4.136612,10,7.734658
3810,190.50000000,60,5.003716,44,5.794419,36,5.014958
3820,191.00000000,10,6.294054,44,5.118704,56,4.667776
3830,191.50000000,60,5.793209,5,3.965843,28,5.374686
3840,192.00000000,58,5.567371,56,5.541020,7,5.053878
3850,192.50000000,60,5.947705,56,5.446032,45,4.598966
3860,193.00000000,60,6.154799,53,3.531153,61,4.909859
3870,193.50000000,60,5.459613,4,6.852591,10,6.546946
3880,194.00000000,44,4.695403,4,6.877548,47,4.145658
3890,194.50000000,17,3.388378,5,4.658116,14,4.828483
3900,195.00000000,56,3.327964,0,3.989882,7,5.553236
3910,195.50000000,56,4.447739,56,8.165836,17,4.726068
3920,196.00000000,17,3.980251,15,4.866925,51,4.647328
3930,196.50000000,10,5.563651,14,5.365094,56,5.422049
3940,197.00000000,10,6.101870,44,6.579664,13,4.476652
3950,197.50000000,10,5.792615,5,4.542579,3,4.403637
3960,198.00000000,10,5.358452,38,5.257018,60,6.815742
3970,198.50000000,10,4.503292,56,7.388231,10,5.528216
3980,199.00000000,60,6.246884,15,6.207098,10,4.889272
3990,199.50000000,60,6.166857,14,4.554712,10,5.428435
4000,200.00000000,60,5.529416,44,5.578981,36,4.783158
