time,total_excitation,total_excess,percent_above_vacuum,frac_sites_excess,excess_site0,excess_site1,excess_site2,excess_site3,excess_site4,excess_site5,excess_site6,excess_site7,excess_site8,excess_site9,excess_site10,excess_site11
7.9,6.00999957,0.0510146103,0.848828851,0.5,0.00371159653,0.00522069304,0,0.011256832,0,0,0.00249517162,0,0.0194770456,0.00885327151,0,0
8,6.00999957,0.0497764307,0.82822686,0.5,0.00867172373,0.000725066927,0,0.0057297808,0,0,0,0.00219059163,0.0212243915,0.0112348762,0,0
8.1,6.00999957,0.0443922669,0.738640102,0.416666667,0.00708781982,0,0,0.000141768008,0,0,0,0.00210217688,0.0208485222,0.0142119801,0,0
8.2,6.00999957,0.0362355454,0.602920932,0.333333333,0.00198952116,0,0,0,2.39477807e-06,0,0,0,0.0201541472,0.0140894823,0,0
8.3,6.00999957,0.0354104126,0.5891916,0.416666667,0,0,0.00228976769,0,0.00111952415,0.00623652621,0,0,0.0177636981,0.00800089645,0,0
8.4,6.00999957,0.0333535444,0.5549675,0.416666667,0,0,0.00390446236,0,0.00464261009,0.0115536587,0,0,0.0111661068,0,0,0.00208670639
8.5,6.00999957,0.0298517123,0.496700739,0.416666667,0,0,0,0,0.0132647521,0.00706174025,0.00190817011,0,0.00221859464,0,0,0.00539845511
8.6,6.00999957,0.037093375,0.617194304,0.333333333,0,0,0,0,0.0206429114,0,0.00718057993,0,0,0,0.00583986784,0.0034300159
8.7,6.00999957,0.0426554788,0.709741796,0.333333333,0,0,0,0,0.0184733583,0,0.0107417455,0,0,0.000400930613,0.0130394444,0
8.8,6.00999957,0.0485932723,0.808540362,0.5,0.00518663119,0,0,0.00135217693,0.00827463074,0,0.00952041807,0,0,0.00772558361,0.0165338317,0
8.9,6.00999957,0.0480842492,0.800070759,0.5,0.0106552645,0,0,0.00205781182,0,0,0.00563728508,0,0.00232612594,0.0139246913,0.0134830706,0
9,6.00999957,0.0378075336,0.629077144,0.5,0.00893978734,0,0,0.000969757546,0,0,0.00123402742,0,0.00285652093,0.0177701335,0.00603730682,0
9.1,6.00999957,0.0312039088,0.519199851,0.5,0.000135523234,0,0.00870738494,0.000223544102,0.00343605463,0,0,0,0.00231077352,0.0163906284,0,0
9.2,6.00999957,0.0368050705,0.612397225,0.416666667,0,0,0.0115371953,0.000840003755,0.0098804947,0,0,0,0.00460307963,0.00994429719,0,0
9.3,6.00999957,0.032369365,0.538591803,0.5,0,0.000533241354,0.0081659577,0,0.012695505,0,0.000960787294,0,0.00735900303,0.00265487065,0,0
9.4,6.00999957,0.0323173793,0.537726816,0.583333333,0,0.00172257121,0.00397328955,0,0.0115891479,0,0.00748351352,0,0.00526250976,0.000311402585,0,0.00197494478
9.5,6.00999957,0.0205747502,0.342341959,0.5,0,0,0.00166425026,0,0.00774995647,0,0.0062060208,0,0,0.00393190088,0.000833874483,0.000188747345
9.6,6.00999957,0.0294067867,0.489297651,0.5,0.00523206206,0,0,0,0.00430405497,0.00109391465,0,0.00358782464,0,0.00680623251,0.0083826979,0
9.7,6.00999957,0.0393104276,0.6540837,0.5,0.0102218133,0,0,0,0.00431675666,0.00921845521,0,0.00237931099,0,0.00328414397,0.00988994747,0
9.8,6.00999957,0.035708981,0.59415946,0.416666667,0.0111636553,0,0,0.00110002884,0.00473696278,0.0139248654,0,0,0,0,0.0047834686,0
9.9,6.00999957,0.0406186203,0.675850635,0.5,0.00773836853,0.00394540333,0,0.00479691659,0.00426715498,0.0119321949,0,0,0.00793858193,0,0,0
10,6.00999957,0.0419180103,0.697471103,0.583333333,0.00266762831,0.00946170309,0,0.00640259324,0.00591718887,0.00415908287,2.5253825e-05,0,0.0132845601,0,0,0
